time,Localisation,FID,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-22,Rennes,ind_bretagne.2021-09-22 02:00:00+02.243500139,3,D̩grad̩,#F0E641,2021-09-22T02:00:00Z,Air Breizh,EPCI,243500139,2,1,3,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),15.2,7.7,22.3,0,,10,8.5,31,1027.7,
2021-09-23,Rennes,ind_bretagne.2021-09-23 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-23T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,2,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),14.3,7.6,21.4,0.3,,326,9.7,33,1023.7,
2021-09-24,Rennes,ind_bretagne.2021-09-24 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-24T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),14.1,8.2,21,0,,320,6.5,21,1019.5,
2021-09-25,Rennes,ind_bretagne.2021-09-25 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-25T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,2,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),14.6,7.5,20.6,0.3,,125,5.8,20.4,1014.4,
2021-09-26,Rennes,ind_bretagne.2021-09-26 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-26T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),18.9,16.7,22.8,0.3,,204,13.7,33,1014.2,
2021-09-27,Rennes,ind_bretagne.2021-09-27 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-27T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),16.7,12.8,20.4,2.8,,223,21,54,1016.7,
2021-09-28,Rennes,ind_bretagne.2021-09-28 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-28T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),14.3,10.6,20.4,0.5,,192,14.4,50,1020.6,
2021-09-29,Rennes,ind_bretagne.2021-09-29 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-29T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),13.6,9.7,18.2,1.5,,288,15.8,44,1024.3,
2021-09-30,Rennes,ind_bretagne.2021-09-30 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-30T02:00:00Z,Air Breizh,EPCI,243500139,2,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),10.3,4.7,19.4,0,,197,10.7,40.8,1027.1,
2021-10-01,Rennes,ind_bretagne.2021-10-01 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-01T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),15.1,12.6,20.6,0,,202,15.4,44,1016.6,
2021-10-02,Rennes,ind_bretagne.2021-10-02 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-02T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),15,10.8,18.2,12.7,,187,20.1,68,1004.3,
2021-10-03,Rennes,ind_bretagne.2021-10-03 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-10-03T02:00:00Z,Air Breizh,EPCI,243500139,1,1,2,1,1,"-1,71146934","48,10815818","349555,007","6789093,387",2154,POINT (349555.0070453745 6789093.386528317),13.8,11.3,18.2,53.6,,258,14.6,72.2,1002.8,
