FID,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom
ind_bretagne.2023-07-08 02:00:00+02.200069409,2023-07-08T02:00:00,2,Moyen,#50CCAA,2023-07-08T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,2,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-07-07 02:00:00+02.200069409,2023-07-07T02:00:00,2,Moyen,#50CCAA,2023-07-07T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-07-06 02:00:00+02.200069409,2023-07-06T02:00:00,2,Moyen,#50CCAA,2023-07-06T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-07-05 02:00:00+02.200069409,2023-07-05T02:00:00,2,Moyen,#50CCAA,2023-07-05T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-07-04 02:00:00+02.200069409,2023-07-04T02:00:00,2,Moyen,#50CCAA,2023-07-04T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-07-03 02:00:00+02.200069409,2023-07-03T02:00:00,2,Moyen,#50CCAA,2023-07-03T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,2,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-07-02 02:00:00+02.200069409,2023-07-02T02:00:00,2,Moyen,#50CCAA,2023-07-02T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-07-01 02:00:00+02.200069409,2023-07-01T02:00:00,2,Moyen,#50CCAA,2023-07-01T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,2,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-30 02:00:00+02.200069409,2023-06-30T02:00:00,2,Moyen,#50CCAA,2023-06-30T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-29 02:00:00+02.200069409,2023-06-29T02:00:00,2,Moyen,#50CCAA,2023-06-29T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-28 02:00:00+02.200069409,2023-06-28T02:00:00,2,Moyen,#50CCAA,2023-06-28T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-27 02:00:00+02.200069409,2023-06-27T02:00:00,2,Moyen,#50CCAA,2023-06-27T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-26 02:00:00+02.200069409,2023-06-26T02:00:00,2,Moyen,#50CCAA,2023-06-26T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-25 02:00:00+02.200069409,2023-06-25T02:00:00,3,Dégradé,#F0E641,2023-06-25T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-24 02:00:00+02.200069409,2023-06-24T02:00:00,3,Dégradé,#F0E641,2023-06-24T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-23 02:00:00+02.200069409,2023-06-23T02:00:00,2,Moyen,#50CCAA,2023-06-23T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-22 02:00:00+02.200069409,2023-06-22T02:00:00,2,Moyen,#50CCAA,2023-06-22T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-21 02:00:00+02.200069409,2023-06-21T02:00:00,2,Moyen,#50CCAA,2023-06-21T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-20 02:00:00+02.200069409,2023-06-20T02:00:00,2,Moyen,#50CCAA,2023-06-20T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-19 02:00:00+02.200069409,2023-06-19T02:00:00,3,Dégradé,#F0E641,2023-06-19T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-18 02:00:00+02.200069409,2023-06-18T02:00:00,2,Moyen,#50CCAA,2023-06-18T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-17 02:00:00+02.200069409,2023-06-17T02:00:00,4,Mauvais,#FF5050,2023-06-17T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,4,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-16 02:00:00+02.200069409,2023-06-16T02:00:00,4,Mauvais,#FF5050,2023-06-16T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,4,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-15 02:00:00+02.200069409,2023-06-15T02:00:00,4,Mauvais,#FF5050,2023-06-15T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,4,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-14 02:00:00+02.200069409,2023-06-14T02:00:00,3,Dégradé,#F0E641,2023-06-14T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-13 02:00:00+02.200069409,2023-06-13T02:00:00,3,Dégradé,#F0E641,2023-06-13T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,1,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-12 02:00:00+02.200069409,2023-06-12T02:00:00,2,Moyen,#50CCAA,2023-06-12T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-11 02:00:00+02.200069409,2023-06-11T02:00:00,2,Moyen,#50CCAA,2023-06-11T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-10 02:00:00+02.200069409,2023-06-10T02:00:00,2,Moyen,#50CCAA,2023-06-10T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-09 02:00:00+02.200069409,2023-06-09T02:00:00,3,Dégradé,#F0E641,2023-06-09T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-08 02:00:00+02.200069409,2023-06-08T02:00:00,3,Dégradé,#F0E641,2023-06-08T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-07 02:00:00+02.200069409,2023-06-07T02:00:00,3,Dégradé,#F0E641,2023-06-07T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-06 02:00:00+02.200069409,2023-06-06T02:00:00,3,Dégradé,#F0E641,2023-06-06T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-05 02:00:00+02.200069409,2023-06-05T02:00:00,3,Dégradé,#F0E641,2023-06-05T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-04 02:00:00+02.200069409,2023-06-04T02:00:00,3,Dégradé,#F0E641,2023-06-04T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-03 02:00:00+02.200069409,2023-06-03T02:00:00,3,Dégradé,#F0E641,2023-06-03T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-02 02:00:00+02.200069409,2023-06-02T02:00:00,3,Dégradé,#F0E641,2023-06-02T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-06-01 02:00:00+02.200069409,2023-06-01T02:00:00,3,Dégradé,#F0E641,2023-06-01T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-31 02:00:00+02.200069409,2023-05-31T02:00:00,3,Dégradé,#F0E641,2023-05-31T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-30 02:00:00+02.200069409,2023-05-30T02:00:00,3,Dégradé,#F0E641,2023-05-30T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-29 02:00:00+02.200069409,2023-05-29T02:00:00,3,Dégradé,#F0E641,2023-05-29T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-28 02:00:00+02.200069409,2023-05-28T02:00:00,3,Dégradé,#F0E641,2023-05-28T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-27 02:00:00+02.200069409,2023-05-27T02:00:00,3,Dégradé,#F0E641,2023-05-27T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,3,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-26 02:00:00+02.200069409,2023-05-26T02:00:00,3,Dégradé,#F0E641,2023-05-26T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-25 02:00:00+02.200069409,2023-05-25T02:00:00,2,Moyen,#50CCAA,2023-05-25T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-24 02:00:00+02.200069409,2023-05-24T02:00:00,3,Dégradé,#F0E641,2023-05-24T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-23 02:00:00+02.200069409,2023-05-23T02:00:00,3,Dégradé,#F0E641,2023-05-23T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-22 02:00:00+02.200069409,2023-05-22T02:00:00,3,Dégradé,#F0E641,2023-05-22T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,1,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-21 02:00:00+02.200069409,2023-05-21T02:00:00,3,Dégradé,#F0E641,2023-05-21T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-20 02:00:00+02.200069409,2023-05-20T02:00:00,3,Dégradé,#F0E641,2023-05-20T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-19 02:00:00+02.200069409,2023-05-19T02:00:00,2,Moyen,#50CCAA,2023-05-19T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-18 02:00:00+02.200069409,2023-05-18T02:00:00,2,Moyen,#50CCAA,2023-05-18T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-17 02:00:00+02.200069409,2023-05-17T02:00:00,2,Moyen,#50CCAA,2023-05-17T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-16 02:00:00+02.200069409,2023-05-16T02:00:00,2,Moyen,#50CCAA,2023-05-16T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-15 02:00:00+02.200069409,2023-05-15T02:00:00,3,Dégradé,#F0E641,2023-05-15T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,3,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-14 02:00:00+02.200069409,2023-05-14T02:00:00,2,Moyen,#50CCAA,2023-05-14T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,2,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-13 02:00:00+02.200069409,2023-05-13T02:00:00,2,Moyen,#50CCAA,2023-05-13T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,1,1,2,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-12 02:00:00+02.200069409,2023-05-12T02:00:00,2,Moyen,#50CCAA,2023-05-12T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-11 02:00:00+02.200069409,2023-05-11T02:00:00,2,Moyen,#50CCAA,2023-05-11T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-10 02:00:00+02.200069409,2023-05-10T02:00:00,2,Moyen,#50CCAA,2023-05-10T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-09 02:00:00+02.200069409,2023-05-09T02:00:00,2,Moyen,#50CCAA,2023-05-09T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
ind_bretagne.2023-05-08 02:00:00+02.200069409,2023-05-08T02:00:00,2,Moyen,#50CCAA,2023-05-08T02:00:00,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148)
