time,Localisation,FID,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-25,Quimper,ind_bretagne.2021-09-25 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-09-25T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),15.2,10.1,20.2,,,66,5.9,18.5,1013.8,
2021-09-25,Rennes,ind_bretagne.2021-09-25 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-25T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,1,1,2,1,2,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),14.6,7.5,20.6,0.3,,125,5.8,20.4,1014.4,
2021-09-25,Saint-Brieuc,ind_bretagne.2021-09-25 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-09-25T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),15.2,10.1,19.9,,,102,4.2,18.5,1014.1,
2021-09-25,Vannes,ind_bretagne.2021-09-25 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-09-25T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),12.2,7,18,3.8,,75,10.3,,1013.1,
2021-09-26,Brest,ind_bretagne.2021-09-26 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-09-26T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),16.9,13.4,20.1,0.5,,209,19.9,50,1013.1,
2021-09-26,Quimper,ind_bretagne.2021-09-26 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-09-26T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),17.1,14.2,19.8,,,222,11.6,33.3,1014,
2021-09-26,Rennes,ind_bretagne.2021-09-26 02:00:00+02.243500139,2,Moyen,#50CCAA,2021-09-26T02:00:00Z,Air Breizh,EPCI,243500139,Rennes MÃ©tropole,1,1,2,1,1,-1.71146934,48.10815818,349555.007,6789093.387,2154,POINT (349555.0070453745 6789093.386528317),18.9,16.7,22.8,0.3,,204,13.7,33,1014.2,
2021-09-26,Saint-Brieuc,ind_bretagne.2021-09-26 02:00:00+02.200069409,2,Moyen,#50CCAA,2021-09-26T02:00:00Z,Air Breizh,EPCI,200069409,CA Saint-Brieuc Armor,1,1,2,1,1,-2.83200416,48.45254118,269153.26829935,6832824.93414115,2154,POINT (269153.2682993477 6832824.934141148),17.6,15.6,21,,,217,12,35,1013.3,
2021-09-26,Vannes,ind_bretagne.2021-09-26 02:00:00+02.200067932,2,Moyen,#50CCAA,2021-09-26T02:00:00Z,Air Breizh,EPCI,200067932,CA Golfe du Morbihan - Vannes,1,1,2,1,1,-2.73625092,47.67660119,269961.1107,6746307.899,2154,POINT (269961.1106939723 6746307.8992528645),17.3,8,20,4.4,,229,11,,1013.9,
2021-09-27,Brest,ind_bretagne.2021-09-27 02:00:00+02.242900314,2,Moyen,#50CCAA,2021-09-27T02:00:00Z,Air Breizh,EPCI,242900314,Brest Métropole,1,1,2,1,1,-4.47051742,48.39962987,147878.2242,6837175.794,2154,POINT (147878.22420658765 6837175.794037035),14.5,10.3,18.1,7.1,,239,25.8,83,1015,
2021-09-27,Quimper,ind_bretagne.2021-09-27 02:00:00+02.200068120,2,Moyen,#50CCAA,2021-09-27T02:00:00Z,Air Breizh,EPCI,200068120,CA Quimper Bretagne Occidentale,1,1,2,1,1,-4.08515464,48.04597874,172753.63056731,6795400.54381628,2154,POINT (172753.63056731108 6795400.543816281),15.6,11.5,17.8,,,251,20.3,61.1,1016.1,
